"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5","Dim 6"
"V15_1",-1.0358736849216,1.09453768824331,2.47506751703717,1.08430213593079,0.359568351424073,0.195739998616256
"V16_0",0.0581723852338269,-0.0394603174133388,-0.113270789219568,-0.0404398781867646,-0.0528101959416057,-0.0316465332882048
"V16_1",-0.849316824413866,0.576120634234698,1.65375352260572,0.59042222152673,0.771028860747455,0.462039386007744
"V17_0",0.0581723852338226,-0.0394603174133295,-0.113270789219568,-0.040439878186763,-0.0528101959416061,-0.0316465332882045
"V17_1",-0.849316824413841,0.576120634234657,1.65375352260573,0.590422221526752,0.77102886074746,0.462039386007754
"V18_0",0.0699519996259573,-0.0460894529286573,-0.146497494712076,-0.0563295596334426,-0.058804640003839,-0.0433449636892373
"V18_1",-0.839423995511527,0.553073435143912,1.75796993654506,0.675954715601379,0.705655680046092,0.520139564270748
"V19_0",0.0989064931965086,-0.104234751188893,-0.158610010141628,-0.0715281418278602,-0.0590168188144929,-0.0594729433281476
"V19_1",-1.00319443099318,1.05723819063024,1.60875867429403,0.725499724254188,0.59859916226133,0.603225568042608
"V20_0",0.0865611273048932,-0.0967059707600197,-0.124753593247457,-0.0552066789417364,-0.0529361716568081,-0.04738803500991
"V20_1",-1.03873352765871,1.16047164912026,1.49704311896941,0.662480147300803,0.635234059881687,0.568656420118757
"V21_0",0.0699519996259416,-0.0460894529286382,-0.146497494712082,-0.0563295596334509,-0.0588046400038378,-0.0433449636892414
"V21_1",-0.839423995511535,0.553073435143903,1.75796993654507,0.675954715601388,0.705655680046128,0.520139564270818
"V22_0",0.0581723852338194,-0.0394603174133265,-0.11327078921957,-0.0404398781867641,-0.0528101959416054,-0.0316465332881967
"V22_1",-0.84931682441388,0.576120634234735,1.65375352260574,0.590422221526768,0.771028860747474,0.4620393860078
"V23_0",0.0581723852338278,-0.0394603174133362,-0.113270789219569,-0.0404398781867641,-0.0528101959416023,-0.0316465332881979
"V23_1",-0.84931682441383,0.576120634234644,1.65375352260572,0.590422221526744,0.771028860747447,0.462039386007655
"V24_0",0.0576649230360908,-0.0416547587238373,-0.100585433921092,-0.0383703154406723,-0.0554919024359132,-0.0557995386970761
